Username,Images,Review,Rating,Creation-date
thomasUVA,-,These are great. People definitely see me coming               These are great. People definitely see me coming. I feel a lot safer.The only thing I don t like is that I wish I could take the battery case in with me at night. I have to keep my bike outside  and the cold weather drains the batteries. They d last longer if I could bring them inside.       ,5,2021-07-09T14:22:22
JY,-,Surprisingly it lasted a long time               I can t believe this thing lasted over 3 years. I figured this Chinese product would have died a long time ago.       ,5,2021-01-17T14:22:22
Sylvia,-,Pretty               Exactly as described       ,5,2021-10-10T14:22:22
Steve Wilson,-,Way cool!               These are as cool as they come.  We have PB lights before  but these are even better.  Nice rugged design and super easy to install.  They get great looks from everyone.       A una persona le resultó útil,5,2021-06-15T14:22:22
Donna Bradford & Steve Bradford,-,Love these Bright Lights               Purchased these for my nephew s birthday - this is the 3rd set I ve purchased.  The kids LOVE them. They are bright and make the bikes easy to see at night in the yard or in our campground.  Fairly easy to install.  These are a great purchase.       ,5,2021-09-28T14:22:22
Alex,-,Great  if you get the real deal               I got these for my boyfriend.  So I originally ordered these from Amazon marketplace and by comparing the box I got to the genuine box photos  it was pretty obvious that I received knockoffs.  Amazon was really good about refunding my purchase after I complained.  Unfortunately  it looks like these keep getting sold by a series of slightly sketchy importers  using shifting names  and I don t fully trust that anyone selling Wheel Brightz under this listing is selling the genuine article.  So I bought a new set of Wheel Brightz from the manufacturer s website.I am super bad at mechanical stuff  but installation was OK.  Maybe 15-20 minutes per wheel.I got the pink one  my boyfriend got the multi-color.  They both look great.  The multi-color version looks kind of ugly when you re stationary compared to the other  more uniform colors  but it s totally sick when you re actually on the bike in motion -- it s like having a little rainbow whipping around your rim.  For thirty bucks you bring a lot of joy to the world -- we probably average one direct compliment for every 1-2 miles or so of biking  depending on pedestrian density (and I overhear a lot of people talking about the lights but not directly to us).  Typical encounters: A little kid in Bernal Heights shouted  you have a cool bike!  from his front porch.  A (probably slightly intoxicated) pedestrian in the Mission told my boyfriend he had the coolest bike in San Francisco and gave him a fist-bump.  Another stranger shouted   I like your Playa bike!  (this is not my Playa bike  although these lights would be perfect for Burning Man.)  The lights are very bright and visible  although you still need to have standard front and rear lights  as the Wheel Brightz can t be seen from directly behind or in front of the bike.Update: A year later  I still haven t had to change the batteries!  I have had to order one replacement power supply for my boyfriend s bike  though -- we hang our bikes vertically by the front wheel on wall-mounted hanging racks and over time  the power cord got caught between the wheel and the rack enough times that it frayed and wore through.  (You can avoid this if you are reasonably careful when you hang up your bike and avoid crushing the power connector cable -- it just hadn t occurred to us that this would be a problem until the cable broke  so we didn t bother trying to avoid it.)  More recently  a segment (about a quarter) of the lights on one of his wheels went out  although you can t tell when the bike is in motion.  Again  this is probably caused by hanging the bike by the front wheel.Update II: I ve gotten several more sets of these  and they re still great  but I notice that in some of the sets I ve bought more recently  in the initial packaging  the battery pack is screwed on so tightly I ve had to use an electric screwdriver to open it -- it would be nice if they could fix that and not over-tighten the screws!Update III: I recently brought a pair of these to Burning Man.  I noticed on the Playa that of all the different lighting schemes people used for their bikes  Wheel Brightz were the brightest and most visible -- far better than EL wire or front and rear lights.  If you are planning to go to Burning Man  I would recommend Wheel Brightz as an absolute must-have for your bike.       A 31 personas les resultó útil,5,2021-08-06T14:22:22
urbanite,-,You ll feel like Tron-bike!               Great so far! Very bright at night  from multiple directions. I m loving these lights.       ,5,2021-04-08T14:22:22
Jennifer Reynolds,-,They are super easy to install and the kids can turn them ...               My daughter LOVES these!  They are super easy to install and the kids can turn them on and off themselves.  Look great at night and everyone loves them when we go camping.       ,5,2021-05-22T14:22:22
TAT,-,Five Stars               Works as indicated. Just be sure to install correctly.       ,5,2021-04-13T14:22:22
Patti  Holroyd,-,Five Stars               Nice bright colors  helpful to see where your child is when riding at night through the park.       ,5,2021-07-05T14:22:22
Yama,-,So fun and colorful!!               We really really love these lights. We now have them on all five of our bikes. We enjoy evening rides with the kids and these lights just make it even more fun. Anyone that sees it always comment on our lights. Yes they seem a little pricey but they make us happy and the visibility makes us safer so it s totally worth it. We had a problem with one strand after having it for a little over a month and the company was so quick to respond and send us a replacement. They even sent a little extra something to make up for the issue. Now my son is even more happy because his bike has more flare than the rest of us! I love companies that do little things like that.       A 2 personas les resultó útil,5,2021-09-18T14:22:22
Belgin,-,Great product! Using it for Burning Man!               Great product --bought it for Burning Man!       ,5,2021-07-16T14:22:22
K. J. BrettK. J. Brett,https://images-na.ssl-images-amazon.com/images/I/61fjvP7uqSL._SY800.jpg;https://images-na.ssl-images-amazon.com/images/I/61sUqiCbh3L._SY800.jpg,Bike Brightz Wheel Brightz LED rim lighting kit for your bike.                                                                                                                                                                                                 No se pudo cargar el archivo multimedia.                                                                                                             I purchased these lights for my bike in an effort to make my presence as visible as possible while traveling on my 4 mile commute to and from work. I got my particular sets from Chubby Cruisers and they arrived faster than expected. Only one lighting tube comes in each box so you will need to purchase two kits. Take 5 minutes to read the 2 sided instructions and installation will be easy and quick. I was able to complete both tire setups in less than thirty minutes from the time I actually opened the box. The lights are bright in dim/dark lighting with the white lights still visible in 3pm lighting conditions outdoors in South Florida. I will try to report back with further updates as to the quality and durability as time permits.       A 302 personas les resultó útil,5,2021-08-22T14:22:22
DrJ3,-,Great look               Awesome safety feature for any bike.  Plus looks really cool.       ,5,2021-05-25T14:22:22
HAPPYCHIK777,-,Lights for Safety               Makes the bike super visible at night.       ,5,2021-04-14T14:22:22
Richard A.,-,Definitely Turns Heads!                                                                                                                                                                                                              No se pudo cargar el archivo multimedia.                                                                                                When I first ordered this  I wasn t quite sure what to expect. I was under the false impression that this light string was held into place either solely by zip-ties or somehow using the tension of the spokes. This had me worried  as I bought it for my fat-bike  which has about a 1  gap in between the spokes. I expected to have to zip-tie the cord to every other spoke or something. Well  I was wrong. I only used one zip-tie and the rest just sort of... works. The string of lights has a much sturdier  heavy-duty tubing than I expected  so once you get them in between the spokes and complete the circle  the outward tension caused by the tube itself  holds the lights against the rim. These lights aren t quite as bright as I was expecting but they are definitely bright. I just expected them to reflect off of the street more than they do.Now  I own a fat bike with red rims  so that alone turns heads but these lights at night turn even more heads. On my first ride after installing them  I received my first compliment almost immediately  from the first person on foot that I rode by. I live in a developing suburban area  where there aren t many street lights  which makes these look even more cool.The only reason why I gave this product 4-stars instead of 5 is because I feel like you shouldn t have to completely remove the power box from the rim in order to change the batteries. Still a great product  though!       A 10 personas les resultó útil,4,2021-08-27T14:22:22
Deborah Dunn,-,Awesome product               LOVE this product! So awesome looking at night!       ,5,2021-07-25T14:22:22
Becky Ochoa,-,Five Stars               Very satisfied       ,5,2021-02-20T14:22:22
Rema Rainsford ,-,Wheelbrightz               Easy to install great product       ,5,2021-08-11T14:22:22
LarryG,-,Five Stars               works well       ,5,2021-07-23T14:22:22
B-rad,-,Authentic product               Just glad to receive the real product... many sellers who claim to have this same bicycle light are actually selling counterfeit... and a bad counterfeit at that!...  happy to receive the authentic product!! Yeah this light set is awesome!! I put it on my electric scooter to make myself more visible at night and it works great! It s pretty bright but not overly so  I rap mine all the way around my scooter 360° just under the foot board and it lights up the ground underneath as well as bottom half of scooter   so it looks like the underneath glows   like ground effect lights on cars... the fact that the green color perfectly matches my scooter helps add to the cool factor :-)       A una persona le resultó útil,5,2021-01-28T14:22:22
Kansas City Grandma,-,He will love these bright lights on his wheels               Not only will there be lights on the Christmas tree but also on my grandsons new bike!  He will love these bright lights on his wheels.       ,5,2021-02-25T14:22:22
A. Blitz,-,Needs some improvement - not secure...               Purchased two of these for an 11 year old girl   who absolutely loves them.  Very cool effect  highly visible on our dark rural streets   and she is the envy of the neighborhood!  Adults and kids both stop and stare at them in amazement.However  within 2 months and less than a dozen rides   the first flung off and ripped the wires from the light strip and cracked the solder connection from the circuit board to the battery contact.  Inspected the second units rubber strap and it was obviously about to fail as well.  The rubber straps are not durable.  The bikes are stored inside and only ridden on cool evenings so there s not much more one can do to protect them from the elements...they re just too cheaply made.Was able to repair the damaged strip and power box  then secured both with standard tyraps  so hopefully they will hold better.Other than that   they re a great product.       A una persona le resultó útil,3,2021-08-01T14:22:22
ThereseTherese,https://images-na.ssl-images-amazon.com/images/I/719QjQK0SCL._SY800.jpg;https://images-na.ssl-images-amazon.com/images/I/71o9txkL0gL._SY800.jpg;https://images-na.ssl-images-amazon.com/images/I/71v4Si1G3uL._SY800.jpg,Great Product* Order From Wheel Brightz/Amazon Only               I have amended my review  after complaining to the  Darling Co.  and Amazon and reporting the problem to the makers of Wheel Brightz. The product is very cool  bright and really stands out at night  my son loves it  and I am happy that he is being seen on the road at night. It was easy for him to install by himself. I also have the  bar  type of light from the same company  also well-made and has been in use for a while and continues to work fine as well. Please beware when you order something that is labeled  fulfilled by ______company  on Amazon  I was shipped a product that was not authentic  and possibly dangerous - for my child. As a mother let me tell you  nothing makes me angrier than this type of situation. ***DO NOT BUY! I can t believe I got ripped off! The first photo I posted is the  correct  item I purchased at a retail store  there is one light strip enclosed in tubing and a flat battery pack with the company name printed on it that you attach to your spokes. The second two photos show the product I received: the round battery pack that we figured out how to attach  I m not sure it would work this way for other bikes  it almost didn t work with my son s brakes. The third photo shows how thin the wire is  how it doesn t attach well and falls down. I am concerned about how safe this item is  there is not  water-proof tubing  included like the original. This is not as represented  how is this happening? Is anyone monitoring this stuff? Does Amazon make sure the products being sold are legitimate? Is anyone reading this? I m a loyal Amazon customer  I have purchased many items  I am concerned about the safety of my account as well.***       A 38 personas les resultó útil,4,2021-09-27T14:22:22
rosemarie walsh,-,Great product! --You could see me a block away               Great product!--You could see me a block away!  Keeping safe in New York City!       ,5,2021-01-02T14:22:22
Chrsitina A. McHugh,-,Great for night riders!               Love these lights! Actually just ordered another one!       A 2 personas les resultó útil,5,2021-01-28T14:22:22
wanda vagt,-,Perfect safety devise!               Just Awesome. Thank you!       ,5,2021-07-28T14:22:22
Lorenzo Navarro,-,Five Stars               Awesome! I recommend them to anyone thinking about getting lights for your wheels       ,5,2021-03-04T14:22:22
Rodney R Barney,-,Five Stars               perfect  love it       ,5,2021-07-23T14:22:22
K. J. BrettK. J. Brett,https://images-na.ssl-images-amazon.com/images/I/61fjvP7uqSL._SY800.jpg;https://images-na.ssl-images-amazon.com/images/I/61sUqiCbh3L._SY800.jpg,Bike Brightz Wheel Brightz LED rim lighting kit for your bike.                                                                                                                                                                                                 No se pudo cargar el archivo multimedia.                                                                                                             I purchased these lights for my bike in an effort to make my presence as visible as possible while traveling on my 4 mile commute to and from work. I got my particular sets from Chubby Cruisers and they arrived faster than expected. Only one lighting tube comes in each box so you will need to purchase two kits. Take 5 minutes to read the 2 sided instructions and installation will be easy and quick. I was able to complete both tire setups in less than thirty minutes from the time I actually opened the box. The lights are bright in dim/dark lighting with the white lights still visible in 3pm lighting conditions outdoors in South Florida. I will try to report back with further updates as to the quality and durability as time permits.       A 25 personas les resultó útil,5,2021-03-28T14:22:22
AmyAmy,https://m.media-amazon.com/images/I/913WsB17waL._SY800.jpg,Worth the buy               If you don t have a bike with spokes it s a little difficult. As you see  my son has mag wheels. Definitely not enough zip ties provided. Thankfully I have a lot of zip ties laying around. The tubes are a lot longer than the wheel is round  so I had to loop it around into the center. Tube is very flexible and easy to wrap. Be prepared to have extra zip ties for when you have to change the batteries. You have to zip tie over the battery pack to keep it on the wheel. Also  when cutting the ties  make sure to cuz the one on the battery flush or it will hit the front brake cable. I personally had to zip ties my sons brake cable closer to his frame so this didn t happen. Lastly  if riding on bumpy surface  lights will go out. Just push the button and it works. All in all  I m pleased with this product. I bought an extra one to wrap around his center frame too. Added bonus  not just for wheels. Every year my son is ghost rider and he is super excited to have his bike light up like fire       ,4,2021-02-28T14:22:22
Picky,-,All good!  Hope they last.               Have only had them on for 2 days  so I can t speak to their longevity - but so far  I love them!I got the blue lights.  I knew what to expect from reviews.I m not mechanically-minded  so I was a bit nervous at first.  The diagramed instructions that come with it tell you everything you need to know / do.  Important details are in CAPITAL letters  too.  Sounds silly but it helps.SUMMARY:  each of these steps is illustrated and described in detail on the page that comes with the lights:open battery box (4 screws)  -  pop in batteries (3 AA)screw battery box closed againremove attachment plate (2 screws)line attachment plate up with 2 spokes of the bike wheelscrew attachment plate on to box again  check for secure resultweave the light strand around spokes the way you want it (I did a spiral to the outer rim)plug end of light strand in into knob at start of strandsecure as desired with the enclosed zip-ties (SO easy!)I only listed all that so you know what  some assemby required  will look like.  It was kinda fun.You can turn them on and see them in the day  and they re ok.  On our ride last night in the dark  they were gorgeous!  I m glad I put them on the front wheel where I can see them.  They look SO cool.  You turn them on/off by pushing a small button on the front of the battery box  it s ridiculously easy.  They do look like the photo here.As long as these last awhile  they re 5/5 for me.p.s.  I handled them delicately to put them on;;  they might not do as well if you manhandle them.  Once in place  though  they have a nice plastic tubing to protect them.  So... we ll see!       A una persona le resultó útil,5,2021-03-17T14:22:22
D.M.,-,Fun at 75... with Wheel Brightz lights❗️               I love all my Brightz wheel lights don t have any long enough but at 75 years old & biking every night I reall love them all❗️However the battery strap broke on one & although I attached it with a rubberband  would you be so kind as to send me 1-2 (just in case) another breaks. These black wide bands hold much better than a rubberband. Everyone here in OBV love the colors. I have pink on my pink bike & pastel rainbow as the 2nd set on my front wheel. My other bike has purple on front wheel & green on back wheel. This is also a wonderful safety feature & fun too❗️       ,5,2021-02-28T14:22:22
Lacey HooverLacey Hoover,https://images-na.ssl-images-amazon.com/images/I/71RFZYrZRCL._SY800.jpg,missing pieces               the product itself is great  lights up well  simple. giving a bad review because the parts were all loose in the box and taken apart  which made figuring out the (simple) instructions super difficult. i purchased 2 packs so i had one for each wheel. both packs were dismantled  one pack was missing one screw to the bracket that holds it on the spoke. the other pack was missing that same screw plus a screw to the battery compartment. both packs were also missing the zipties mentioned in the instructions. due to the missing bracket screw the unit shifts back and forth while riding and makes noise. the boxes seemed like the were returned or gone through.i ordered a different set from a different seller for my other child s bike and the box had a sealed bag with all pieces included and togtyer like it is supposed to be. i waited to post this review to see how the next order would be. the second bike s light unit secured much better and doesnt make any shaking or noise while riding.       A 2 personas les resultó útil,1,2021-01-17T14:22:22
Kathleen StanfordKathleen Stanford,https://images-na.ssl-images-amazon.com/images/I/C1FV7os54BS._SY800.jpg,Wheelbrightz are LIT               I love all the wheelbrightz products I ve ever used! I especially love the new design with the rubber band rather than the bracket with screws - it s much easier to install and to replace. I had the original design with the brackets on my bike and it recently failed  but I was able to fix it with...you guessed it...a rubber band (well a bike-grade rubber band)! I ve had the back wheel light since 2014 and just got a new one for the front wheel this week - they are long lasting products  especially if you treat them well!       ,5,2021-10-27T14:22:22
shaylynnshaylynn,https://images-na.ssl-images-amazon.com/images/I/71+3T8tzExL._SY800.jpg;https://images-na.ssl-images-amazon.com/images/I/71WuVmiq4EL._SY800.jpg;https://images-na.ssl-images-amazon.com/images/I/71qmeu17D6L._SY800.jpg,Pimped my ride-               After reading may reviews saying this product was a knock off  I can honestly say that the lights I purchased from this seller  (chubby s cruisers) is in fact the real deal. I am very satisfied with my purchase  and love how my bike is now an attention-grabbing head-turner. I will admit  I was a little skeptical about cutting the tube and wires to size with a pair of scissors for sizing  but it did in fact work well. My only issue  which is nothing that the product can change is that I had a difficult time fitting the battery box into a good space on my narrower rear wheel. However with a bit of finger yoga I was able to make it all work.       A 7 personas les resultó útil,5,2021-01-23T14:22:22
Betsy,-,Huge fan  would definitely purchase again.               I love these things! I got them as a gift about a year ago  and they are still going strong. I got two pink strands  and installation was pretty simple. I bike at night at least once a week  for at least 15 minutes  and my lights are still doing great with the original batteries I added. They are VERY bright at night and give me visibility on poorly lit small-town streets  which is exactly why I wanted them. It makes me way more visible than my headlight and taillight ever did. I loved them so much  I bought them in green for a friend of mine  for her birthday.I live in SoCal  so not a ton of rain  but we actually had a pretty wet winter this past year and my bike sat out in the rain more than a few times  with no appreciable impact on the lights.As an added bonus  they look super cool  and I almost feel like I m riding a TRON Lightcycle when I m cruising in these...plus I get compliments all the time! People walking past are always shouting  cool wheels!  I ve also had several people roll down their car windows to yell  I like your bike lights!  or something similar as they drive past. While it always scares me a little at first  I appreciate that people are so overwhelmed by my awesome wheel lights that they want to share. WAY preferable to the obnoxious catcalls I get during the day.TL;DR--love them  would buy again.       A una persona le resultó útil,5,2021-02-13T14:22:22
Rose Armiger,-,Poor design               These lights are bright and easy to install. But  the battery pack is supposed to fix onto the bike spokes  and it will hit against your bike unless you have it installed in the exact perfect alignment. And it will bump out of alignment every time you go over a crack. It s really annoying to have that knocking with every revolution of the wheels  and I found myself having to stop and adjust it every few blocks. In addition  the on button came off at one point.       ,2,2021-05-11T14:22:22
Berenice OchoaBerenice Ochoa,https://images-na.ssl-images-amazon.com/images/I/71MWEZ50IAL._SY800.jpg;https://images-na.ssl-images-amazon.com/images/I/71bG6ABiGUL._SY800.jpg,Awesome!               They were easy to install and look great! I ll be riding my bike through the festival grounds at an off-the-grid music and art festival. The lights will make it easy for me to see at night and will add to the festival atmosphere :D I installed them on 700c wheels and there was extra after going all around  so I attached the extra along a spoke towards the middle of the wheel. This makes there be two more rings of light when the wheel spins.       A 12 personas les resultó útil,5,2021-03-06T14:22:22
m2star,-,Does a good job lighting up the wheel               Easy to install.  Watch out for installing tubes too tightly  can cause lights to shut off. Loosen the tubing if lights stop working. These lights keeps my back wheel well lit for night riding. Soon I will purchase this again for my front wheel.  I love how this product makes my vintage blue Schwinn look.  The purple color compliments my bike well.  Great product!       ,5,2021-05-28T14:22:22
Adam Wisniewski,-,The gold standard for bike wheel lights               I ve put several pairs of these lights on my bikes. They take me about 30 minutes to install properly so I never have to redo them again. Make sure to have more zipties than provided on hand. The major point of failure for these lights is the first stretch of wire from the battery pack - don t stretch that too tight or ever let it get snagged or damaged. Other than that  they are very long-lasting if you install them properly and securely from the get-go  and they are definitely waterproof. They would be absolutely perfect if they were USB rechargeable. Regardless of whether or not they re perfect  they are still the best wheel lights on the market.       A una persona le resultó útil,4,2021-04-10T14:22:22
Seattleite,-,Bright colors - I made this work for a kid s bike too.               These are nice and bright at night. You can t see them in the daytime. These are designed to fit into the spokes of wheels 20  or larger  but I bought these for a child s bike for a 4-year-old.  We simply wrapped them around the frame of the bike and secured everything with a handful of cable ties. Boom -- a fancy-schmancy rainbow light up bike.Brightz or sellers: please make the description about the colors clear. Much of the writing and sounds like it is available in 8 solid colors and color morphing---which implies 9 settings you can choose from. There s just -one- setting: always-on color morphing where it cycles through the colors on its own schedule. Please clarify this in the product details. Thanks.       A 3 personas les resultó útil,4,2021-03-15T14:22:22
Kathy Grimes,-,Install fail  lights are great.               I bought this product from a different vendor. I assume it was an older model because it hooked to the bike via a plastic guide on the back. This one  had a rubber gasket to attach the battery pack to the bike. It sucks the gasket has broken before I was able to get the darn thing attached. Oh I ll be able to use something I have here at the house to make it work. But I shouldn t have to do that. The problem is in order to get it so it doesn t slide all over the place you really have to hook the gasket very tight. I put it on  then realized it hit the break cable. So I had to take it off. I then tried a different spot and it hit the front forks. Now  I have it on  but had to put it inside the spokes not outside. It s probably safer there but by the time I figured it out and pulled it off and on several times the strap/gasket broke. This has more to do with the manufacture vs the seller. But still beware if you get the one with the strap/gasket to use something else before you put the strap on.       ,2,2021-04-09T14:22:22
Anja K. Grube,-,Five Stars               Very happy. My bike looks awesome       ,5,2021-01-20T14:22:22
Amy,-,I get compliments ALLL THE DAMN TIME!               These things are seriously cool - don t have an awesome photo of them yet  but I plan to update. They look amazing  and I get compliments all the time  but they also really work to light up the bike at dusk/night. You won t be able to use them instead of a headlight (to see the road ahead of you) but they do make you insanely visible and they light up the road underneath/around you. I love them in the white against my blue deepdish wheel rims - I think another color would look a but silly. The white against blue looks sharp as hell. I bet a colored light with a different combo rim would look rad though.       ,5,2021-02-04T14:22:22
Amazon Customer,-,The good thing is that these make you much more visible ...               The good thing is that these make you much more visible on the road  don t add a ton of weight  are easy to install  and relatively inexpensive.The bad thing is that these are not water proof at all  which is a big problem on a bicycle. The one on my front wheel stops intermittently  or won t function at all  in the rain. It will start working again once it dries out at least. The rear wheel does not seem to have this problem  probably because it is more protected by the rear fender.Overall  I think these are a worthwhile product for the price. I m working on jury rigging a waterproofing solution.       A 2 personas les resultó útil,3,2021-09-26T14:22:22
Kira,-,Did not fit for the bike               I really wanted to make this work for my son s bike because the light seems very cool.  However  the description said it would fit for all ages and pretty much all bikes.  This was not true.  I had to return this  but Amazon provided excellent services on this product in which I received my refund and didn t need to return the product.       ,3,2021-06-15T14:22:22
Laura Lough,-,Didn t last               Pretty lights  but after a while the on/off button stopped working. Now you have to take the batteries out to get it to turn off and replace them to turn on  which is annoying to have to do bc you have to take the battery pack off the bike  replace the battery and then reattach it between the spokes       ,3,2021-10-08T14:22:22
DeGardenGirl,-,Good product.  Lights are protected.               These LED lights are protected in plastic tubing.  They were easy to install but it was hard to get the control box situated such that the on/off button was easily accessible.  But we are managing  the lights work well and we are pleased with the product.  Kind of expensive we thought but it is the only product we could find with the plastic tubing.       A una persona le resultó útil,4,2021-10-19T14:22:22
Diamondgirlleah,-,Don t waste your money               I was so excited to try this for my kids bikes and just started with one. I m glad I didn t order any more as they are difficult to install the little plastic zip tie things broke off and the. Artery pack fell apart before my child could even ride one time. So I returned item.       ,1,2021-06-04T14:22:22
Heather G.,-,Defective               I put these on my sons bike on the front and back tires. I did the front tire first and left them on for a few min. When I went to adjust the front battery pack it was warm. I turned them off and opened it. One of the batteries were burning hot  to were were could really even hold it in our hand. Im glad I went to adjust it and it didnt blow up or catch fire as my son was riding.. the back one seemed fine  I left it on and checked it  no issues. Maybe I recieved a defective one.       ,1,2021-09-11T14:22:22
Billy A.,-,We love other people s versions of this product.               Update:  2nd one worked 3x before it died.  Between the two  I was able to wire up one working one.  We ll see how long that lasts. (9/6/15)Origional 5 star review said: BRIGHT!!!  We love it.  TRON effect on my eBike.  We will either be getting several more (2nd wheel  wife s bike  kid s bike  the tandem...) or I m going to figure out how to do a DIY version. However  the first one s switch has died after about 30 uses.  And the 2nd one we ordered came with out a water proof tube.  The battery holder and switch were also of a different design  hopefully with a better switch  but that doesn t mean much if water takes it out.       A una persona le resultó útil,1,2021-03-19T14:22:22
S. Patterson,-,eats through batteries in 1 hour               After being very detailed with my installation  the rear lights kept burning out but kept changing thinking it was the batteries and couldn t remember how much time on them each time. The ones I have on another bike are still going strong after many uses over a couple years on same batteries. I think these were just defective from the initial purchase. Seller unable to refund and I don t see a way to do through Amazon at this point plus I was out of town for a few months.       ,1,2021-02-20T14:22:22
Anna Gillilland,-,Five Stars               Very cool!       ,5,2021-04-22T14:22:22
J D VEGA,-,Bright but bulky               The only drawback is that it feels like it makes the bike harder to ride because the battery pack is a bit heavy and causes some centrifugal force that you have to fight because the wheel spins out of balance.  Not the end of the world but it is noticeable to me. But we bought these for safety because we ride at night  and these light are great for that!       ,4,2021-07-05T14:22:22
Gutcherzoo,-,Awesome for daughters bike               These Brightz wheel lights are amazing for my daughter s bike. They so darn cool looking and bright. It s great for safty too. Easy to install and the batteries have lasted. I bought 2  so her front and rear wheels would have Brightz lights.       ,5,2021-03-07T14:22:22
Kevin G.Kevin G.,https://images-na.ssl-images-amazon.com/images/I/81L5HnbeGeL._SY800.jpg,Very bright bold color!               They look great.  I bought them for a group Christmas bike ride tonight.  I noticed my trike and others that had WheelBrightz were much brighter and bolder color than other brands.  My trike has 20” wheels and there was enough length for second smaller circle.       A una persona le resultó útil,5,2021-09-18T14:22:22
